Season,Team,Player,Position
2015/16,Liverpool,Christian Benteke,Centre-Forward
2015/16,Liverpool,Connor Randall,Right-Back
2015/16,Liverpool,Conor Masterson,Centre-Back
2015/16,Liverpool,Dan Cleary,Centre-Back
2015/16,Liverpool,Daniel Sturridge,Centre-Forward
2015/16,Liverpool,Danny Ings,Centre-Forward
2015/16,Liverpool,Danny Ward,Goalkeeper
2015/16,Liverpool,Dejan Lovren,Centre-Back
2015/16,Liverpool,Divock Origi,Centre-Forward
2015/16,Liverpool,Emre Can,Centre-Back
2015/16,Liverpool,James Milner,Central Midfield
2015/16,Liverpool,Jerome Sinclair,Centre-Forward
2015/16,Liverpool,Joe Allen,Central Midfield
2015/16,Liverpool,Joe Gomez,Centre-Back
2015/16,Liverpool,Joe Maguire,Left-Back
2015/16,Liverpool,Jon Flanagan,Right-Back
2015/16,Liverpool,Jordan Henderson,Defensive Midfield
2015/16,Liverpool,Jordan Rossiter,Defensive Midfield
2015/16,Liverpool,Jordon Ibe,Right Winger
2015/16,Liverpool,José Enrique,Left-Back
2015/16,Liverpool,João Carlos Teixeira,Attacking Midfield
2015/16,Liverpool,Kevin Stewart,Defensive Midfield
2015/16,Liverpool,Kolo Touré,Centre-Back
2015/16,Liverpool,Lawrence Vigouroux,Goalkeeper
2015/16,Liverpool,Lucas Leiva,Defensive Midfield
2015/16,Liverpool,Mamadou Sakho,Centre-Back
2015/16,Liverpool,Martin Skrtel,Centre-Back
2015/16,Liverpool,Nathaniel Clyne,Right-Back
2015/16,Liverpool,Pedro Chirivella,Defensive Midfield
2015/16,Liverpool,Philippe Coutinho,Attacking Midfield
2015/16,Liverpool,Roberto Firmino,Centre-Forward
2015/16,Liverpool,Ryan Fulton,Goalkeeper
2015/16,Liverpool,Ryan Kent,Left Winger
2015/16,Liverpool,Sergi Canós,Left Winger
2015/16,Liverpool,Sheyi Ojo,Right Winger
2015/16,Liverpool,Simon Mignolet,Goalkeeper
2015/16,Liverpool,Steven Caulker,Centre-Back
2015/16,Liverpool,Tiago Ilori,Centre-Back
2015/16,Liverpool,Ádám Bogdán,Goalkeeper
2015/16,Man City,Aleix García,Central Midfield
2015/16,Man City,Aleksandar Kolarov,Left-Back
2015/16,Man City,Angeliño,Left-Back
2015/16,Man City,Bacary Sagna,Right-Back
2015/16,Man City,Bersant Celina,Attacking Midfield
2015/16,Man City,Brandon Barker,Left Winger
2015/16,Man City,Cameron Humphreys,Centre-Back
2015/16,Man City,David Faupala,Centre-Forward
2015/16,Man City,David Silva,Attacking Midfield
2015/16,Man City,Eliaquim Mangala,Centre-Back
2015/16,Man City,Fabian Delph,Central Midfield
2015/16,Man City,Fernandinho,Defensive Midfield
2015/16,Man City,Fernando,Defensive Midfield
2015/16,Man City,Gaël Clichy,Left-Back
2015/16,Man City,George Evans,Defensive Midfield
2015/16,Man City,George Glendon,Central Midfield
2015/16,Man City,James Horsfield,Right-Back
2015/16,Man City,Jason Denayer,Centre-Back
2015/16,Man City,Jesús Navas,Right Midfield
2015/16,Man City,Joe Hart,Goalkeeper
2015/16,Man City,Kelechi Iheanacho,Centre-Forward
2015/16,Man City,Kevin De Bruyne,Attacking Midfield
2015/16,Man City,Luke Brattan,Defensive Midfield
2015/16,Man City,Manu García,Attacking Midfield
2015/16,Man City,Martín Demichelis,Centre-Back
2015/16,Man City,Nicolás Otamendi,Centre-Back
2015/16,Man City,Pablo Maffeo,Right-Back
2015/16,Man City,Pablo Zabaleta,Right-Back
2015/16,Man City,Patrick Roberts,Right Winger
2015/16,Man City,Raheem Sterling,Right Winger
2015/16,Man City,Richard Wright,Goalkeeper
2015/16,Man City,Samir Nasri,Attacking Midfield
2015/16,Man City,Sergio Agüero,Centre-Forward
2015/16,Man City,Tosin Adarabioyo,Centre-Back
2015/16,Man City,Vincent Kompany,Centre-Back
2015/16,Man City,Wilfried Bony,Centre-Forward
2015/16,Man City,Willy Caballero,Goalkeeper
2015/16,Man City,Yaya Touré,Central Midfield
2015/16,Man United,Adnan Januzaj,Right Winger
2015/16,Man United,Ander Herrera,Central Midfield
2015/16,Man United,Andreas Pereira,Central Midfield
2015/16,Man United,Anthony Martial,Centre-Forward
2015/16,Man United,Antonio Valencia,Right-Back
2015/16,Man United,Ashley Young,Right-Back
2015/16,Man United,Axel Tuanzebe,Centre-Back
2015/16,Man United,Bastian Schweinsteiger,Central Midfield
2015/16,Man United,Cameron Borthwick-Jackson,Left-Back
2015/16,Man United,Chicharito,Centre-Forward
2015/16,Man United,Chris Smalling,Centre-Back
2015/16,Man United,Daley Blind,Centre-Back
2015/16,Man United,David de Gea,Goalkeeper
2015/16,Man United,Dean Henderson,Goalkeeper
2015/16,Man United,Donald Love,Right-Back
2015/16,Man United,Guillermo Varela,Right-Back
2015/16,Man United,James Weir,Central Midfield
2015/16,Man United,James Wilson,Centre-Forward
2015/16,Man United,Jesse Lingard,Attacking Midfield
2015/16,Man United,Joe Riley,Central Midfield
2015/16,Man United,Joe Rothwell,Central Midfield
2015/16,Man United,Joel Pereira,Goalkeeper
2015/16,Man United,Juan Mata,Attacking Midfield
2015/16,Man United,Luke Shaw,Left-Back
2015/16,Man United,Marcos Rojo,Centre-Back
2015/16,Man United,Marcus Rashford,Left Winger
2015/16,Man United,Marouane Fellaini,Central Midfield
2015/16,Man United,Matteo Darmian,Right-Back
2015/16,Man United,Memphis Depay,Centre-Forward
2015/16,Man United,Michael Carrick,Defensive Midfield
2015/16,Man United,Morgan Schneiderlin,Defensive Midfield
2015/16,Man United,Nick Powell,Attacking Midfield
2015/16,Man United,Paddy McNair,Centre-Back
2015/16,Man United,Phil Jones,Centre-Back
2015/16,Man United,Regan Poole,Centre-Back
2015/16,Man United,Ro-Shaun Williams,Centre-Back
2015/16,Man United,Sam Johnstone,Goalkeeper
2015/16,Man United,Sean Goss,Defensive Midfield
2015/16,Man United,Sergio Romero,Goalkeeper
2015/16,Man United,Timothy Fosu-Mensah,Right-Back
2015/16,Man United,Tyler Blackett,Centre-Back
2015/16,Man United,Víctor Valdés,Goalkeeper
2015/16,Man United,Wayne Rooney,Centre-Forward
2015/16,Man United,Will Keane,Centre-Forward
2015/16,Newcastle,Adam Armstrong,Centre-Forward
2015/16,Newcastle,Aleksandar Mitrović,Centre-Forward
2015/16,Newcastle,Andros Townsend,Right Winger
2015/16,Newcastle,Ayoze Pérez,Centre-Forward
2015/16,Newcastle,Callum Williams,Right-Back
2015/16,Newcastle,Chancel Mbemba,Centre-Back
2015/16,Newcastle,Cheik Tioté,Defensive Midfield
2015/16,Newcastle,Curtis Good,Centre-Back
2015/16,Newcastle,Dan Barlaser,Defensive Midfield
2015/16,Newcastle,Daryl Janmaat,Right-Back
2015/16,Newcastle,Emmanuel Rivière,Centre-Forward
2015/16,Newcastle,Fabricio Coloccini,Centre-Back
2015/16,Newcastle,Florian Thauvin,Right Winger
2015/16,Newcastle,Freddie Woodman,Goalkeeper
2015/16,Newcastle,Gabriel Obertan,Right Winger
2015/16,Newcastle,Gaël Bigirimana,Defensive Midfield
2015/16,Newcastle,Georginio Wijnaldum,Central Midfield
2015/16,Newcastle,Haris Vuckic,Second Striker
2015/16,Newcastle,Henri Saivet,Central Midfield
2015/16,Newcastle,Ivan Toney,Centre-Forward
2015/16,Newcastle,Jack Colback,Defensive Midfield
2015/16,Newcastle,Jamaal Lascelles,Centre-Back
2015/16,Newcastle,Jamie Sterry,Right-Back
2015/16,Newcastle,Jonjo Shelvey,Central Midfield
2015/16,Newcastle,Karl Darlow,Goalkeeper
2015/16,Newcastle,Kevin Mbabu,Right-Back
2015/16,Newcastle,Liam Gibson,Left-Back
2015/16,Newcastle,Massadio Haïdara,Left-Back
2015/16,Newcastle,Mike Williamson,Centre-Back
2015/16,Newcastle,Moussa Sissoko,Central Midfield
2015/16,Newcastle,Papiss Demba Cissé,Centre-Forward
2015/16,Newcastle,Paul Dummett,Left-Back
2015/16,Newcastle,Rob Elliot,Goalkeeper
2015/16,Newcastle,Rolando Aarons,Left Winger
2015/16,Newcastle,Sammy Ameobi,Left Winger
2015/16,Newcastle,Seydou Doumbia,Centre-Forward
2015/16,Newcastle,Siem de Jong,Attacking Midfield
2015/16,Newcastle,Steven Taylor,Centre-Back
2015/16,Newcastle,Sylvain Marveaux,Attacking Midfield
2015/16,Newcastle,Tim Krul,Goalkeeper
2015/16,Newcastle,Vurnon Anita,Defensive Midfield
2015/16,Newcastle,Yoan Gouffran,Left Winger
2015/16,Norwich,Alexander Tettey,Defensive Midfield
2015/16,Norwich,Andre Wisdom,Right-Back
2015/16,Norwich,Bradley Johnson,Central Midfield
2015/16,Norwich,Cameron Jerome,Centre-Forward
2015/16,Norwich,Conor McGrandles,Central Midfield
2015/16,Norwich,Declan Rudd,Goalkeeper
2015/16,Norwich,Dieumerci Mbokani,Centre-Forward
2015/16,Norwich,Elliott Bennett,Right Midfield
2015/16,Norwich,Gary Hooper,Centre-Forward
2015/16,Norwich,Gary O'Neil,Central Midfield
2015/16,Norwich,Graham Dorrans,Central Midfield
2015/16,Norwich,Harry Toffolo,Left-Back
2015/16,Norwich,Ivo Pinto,Right-Back
2015/16,Norwich,Jacob Murphy,Right Winger
2015/16,Norwich,Jake Kean,Goalkeeper
2015/16,Norwich,Jamar Loza,Centre-Forward
2015/16,Norwich,James Maddison,Attacking Midfield
2015/16,Norwich,John Ruddy,Goalkeeper
2015/16,Norwich,Jonathan Howson,Central Midfield
2015/16,Norwich,Josh Murphy,Left Winger
2015/16,Norwich,Kyle Lafferty,Centre-Forward
2015/16,Norwich,Lewis Grabban,Centre-Forward
2015/16,Norwich,Louis Thompson,Central Midfield
2015/16,Norwich,Martin Olsson,Left-Back
2015/16,Norwich,Matt Jarvis,Left Winger
2015/16,Norwich,Michael Turner,Centre-Back
2015/16,Norwich,Nathan Redmond,Right Winger
2015/16,Norwich,Patrick Bamford,Centre-Forward
2015/16,Norwich,Remi Matthews,Goalkeeper
2015/16,Norwich,Ricky van Wolfswinkel,Centre-Forward
2015/16,Norwich,Robbie Brady,Left Midfield
2015/16,Norwich,Russell Martin,Centre-Back
2015/16,Norwich,Ryan Bennett,Centre-Back
2015/16,Norwich,Steven Naismith,Second Striker
2015/16,Norwich,Steven Whittaker,Right-Back
2015/16,Norwich,Sébastien Bassong,Centre-Back
2015/16,Norwich,Timm Klose,Centre-Back
2015/16,Norwich,Tony Andreu,Central Midfield
2015/16,Norwich,Vadis Odjidja-Ofoe,Central Midfield
2015/16,Norwich,Wes Hoolahan,Attacking Midfield
2015/16,Norwich,Youssouf Mulumbu,Defensive Midfield
2015/16,Southampton,Charlie Austin,Centre-Forward
2015/16,Southampton,Cuco Martina,Centre-Back
2015/16,Southampton,Cédric Soares,Right-Back
2015/16,Southampton,Dušan Tadić,Right Winger
2015/16,Southampton,Florin Gardoș,Centre-Back
2015/16,Southampton,Fraser Forster,Goalkeeper
2015/16,Southampton,Gastón Ramírez,Central Midfield
2015/16,Southampton,Graziano Pellè,Centre-Forward
2015/16,Southampton,Harrison Reed,Central Midfield
2015/16,Southampton,Jack Stephens,Centre-Back
2015/16,Southampton,James Ward-Prowse,Central Midfield
2015/16,Southampton,Jason McCarthy,Right-Back
2015/16,Southampton,Jay Rodríguez,Centre-Forward
2015/16,Southampton,Jordan Turnbull,Centre-Back
2015/16,Southampton,Jordy Clasie,Defensive Midfield
2015/16,Southampton,José Fonte,Centre-Back
2015/16,Southampton,Juanmi,Left Winger
2015/16,Southampton,Kelvin Davis,Goalkeeper
2015/16,Southampton,Lloyd Isgrove,Right Winger
2015/16,Southampton,Maarten Stekelenburg,Goalkeeper
2015/16,Southampton,Matt Targett,Left-Back
2015/16,Southampton,Maya Yoshida,Centre-Back
2015/16,Southampton,Olufela Olomola,Right Winger
2015/16,Southampton,Oriol Romeu,Defensive Midfield
2015/16,Southampton,Paulo Gazzaniga,Goalkeeper
2015/16,Southampton,Ryan Bertrand,Left-Back
2015/16,Southampton,Ryan Seager,Centre-Forward
2015/16,Southampton,Sadio Mané,Left Winger
2015/16,Southampton,Sam Gallagher,Centre-Forward
2015/16,Southampton,Sam McQueen,Left-Back
2015/16,Southampton,Shane Long,Centre-Forward
2015/16,Southampton,Steven Caulker,Centre-Back
2015/16,Southampton,Steven Davis,Central Midfield
2015/16,Southampton,Victor Wanyama,Defensive Midfield
2015/16,Southampton,Virgil van Dijk,Centre-Back
2015/16,Stoke,Bojan Krkic,Second Striker
2015/16,Stoke,Charlie Adam,Central Midfield
2015/16,Stoke,Daniel Bachmann,Goalkeeper
2015/16,Stoke,Dionatan Teixeira,Centre-Back
2015/16,Stoke,Erik Pieters,Left-Back
2015/16,Stoke,Geoff Cameron,Centre-Back
2015/16,Stoke,George Waring,Centre-Forward
2015/16,Stoke,Giannelli Imbula,Defensive Midfield
2015/16,Stoke,Glen Johnson,Right-Back
2015/16,Stoke,Glenn Whelan,Defensive Midfield
2015/16,Stoke,Ibrahim Afellay,Attacking Midfield
2015/16,Stoke,Jack Butland,Goalkeeper
2015/16,Stoke,Jakob Haugaard,Goalkeeper
2015/16,Stoke,Jonathan Walters,Right Winger
2015/16,Stoke,Joselu,Centre-Forward
2015/16,Stoke,Mame Diouf,Centre-Forward
2015/16,Stoke,Marc Muniesa,Centre-Back
2015/16,Stoke,Marc Wilson,Centre-Back
2015/16,Stoke,Marco van Ginkel,Central Midfield
2015/16,Stoke,Marko Arnautovic,Centre-Forward
2015/16,Stoke,Mohamed El Ouriachi,Left Winger
2015/16,Stoke,Oliver Shenton,Central Midfield
2015/16,Stoke,Peter Crouch,Centre-Forward
2015/16,Stoke,Peter Odemwingie,Centre-Forward
2015/16,Stoke,Phil Bardsley,Right-Back
2015/16,Stoke,Philipp Wollscheid,Centre-Back
2015/16,Stoke,Ryan Shawcross,Centre-Back
2015/16,Stoke,Shay Given,Goalkeeper
2015/16,Stoke,Stephen Ireland,Attacking Midfield
2015/16,Stoke,Steve Sidwell,Central Midfield
2015/16,Stoke,Xherdan Shaqiri,Attacking Midfield
2015/16,Sunderland,Adam Johnson,Right Winger
2015/16,Sunderland,Adam Matthews,Right-Back
2015/16,Sunderland,Billy Jones,Right-Back
2015/16,Sunderland,Charalampos Mavrias,Right-Back
2015/16,Sunderland,Costel Pantilimon,Goalkeeper
2015/16,Sunderland,Dame N'Doye,Centre-Forward
2015/16,Sunderland,Danny Graham,Centre-Forward
2015/16,Sunderland,DeAndre Yedlin,Right-Back
2015/16,Sunderland,Duncan Watmore,Right Winger
2015/16,Sunderland,Emanuele Giaccherini,Left Midfield
2015/16,Sunderland,Fabio Borini,Centre-Forward
2015/16,Sunderland,George Honeyman,Attacking Midfield
2015/16,Sunderland,Jack Rodwell,Centre-Back
2015/16,Sunderland,Jan Kirchhoff,Defensive Midfield
2015/16,Sunderland,Jeremain Lens,Right Winger
2015/16,Sunderland,Jermain Defoe,Centre-Forward
2015/16,Sunderland,John O'Shea,Centre-Back
2015/16,Sunderland,Jordan Pickford,Goalkeeper
2015/16,Sunderland,Jordi Gómez,Central Midfield
2015/16,Sunderland,Josh Robson,Right-Back
2015/16,Sunderland,Lamine Koné,Centre-Back
2015/16,Sunderland,Lee Cattermole,Defensive Midfield
2015/16,Sunderland,Liam Bridcutt,Defensive Midfield
2015/16,Sunderland,Lynden Gooch,Right-Back
2015/16,Sunderland,Maksymilian Stryjek,Goalkeeper
2015/16,Sunderland,Mikael Mandron,Centre-Forward
2015/16,Sunderland,Ola Toivonen,Centre-Forward
2015/16,Sunderland,Patrick van Aanholt,Left-Back
2015/16,Sunderland,Rees Greenwood,Attacking Midfield
2015/16,Sunderland,Sebastian Larsson,Central Midfield
2015/16,Sunderland,Sebastián Coates,Centre-Back
2015/16,Sunderland,Steve Harper,Goalkeeper
2015/16,Sunderland,Steven Fletcher,Centre-Forward
2015/16,Sunderland,Tom Beadling,Centre-Back
2015/16,Sunderland,Tommy Robson,Left-Back
2015/16,Sunderland,Valentin Roberge,Centre-Back
2015/16,Sunderland,Vito Mannone,Goalkeeper
2015/16,Sunderland,Wahbi Khazri,Left Winger
2015/16,Sunderland,Wes Brown,Centre-Back
2015/16,Sunderland,Will Buckley,Right Winger
2015/16,Sunderland,Yann M'Vila,Defensive Midfield
2015/16,Sunderland,Younès Kaboul,Centre-Back
2015/16,Swansea,Alberto Paloschi,Centre-Forward
2015/16,Swansea,André Ayew,Centre-Forward
2015/16,Swansea,Ashley Williams,Centre-Back
2015/16,Swansea,Bafétimbi Gomis,Centre-Forward
2015/16,Swansea,Connor Roberts,Right-Back
2015/16,Swansea,Daniel Alfei,Right-Back
2015/16,Swansea,Daniel James,Right Winger
2015/16,Swansea,Federico Fernández,Centre-Back
2015/16,Swansea,Franck Tabanou,Left-Back
2015/16,Swansea,Gerhard Tremmel,Goalkeeper
2015/16,Swansea,Gylfi Sigurdsson,Attacking Midfield
2015/16,Swansea,Jack Cork,Defensive Midfield
2015/16,Swansea,Jay Fulton,Central Midfield
2015/16,Swansea,Jefferson Montero,Left Winger
2015/16,Swansea,Joe Rodon,Centre-Back
2015/16,Swansea,Jonjo Shelvey,Central Midfield
2015/16,Swansea,Jordi Amat,Centre-Back
2015/16,Swansea,Josh Vickers,Goalkeeper
2015/16,Swansea,Kenji Gorré,Left Winger
2015/16,Swansea,Kristoffer Nordfeldt,Goalkeeper
2015/16,Swansea,Kyle Bartley,Centre-Back
2015/16,Swansea,Kyle Naughton,Right-Back
2015/16,Swansea,Leon Britton,Central Midfield
2015/16,Swansea,Leroy Fer,Defensive Midfield
2015/16,Swansea,Liam Shephard,Right-Back
2015/16,Swansea,Lukasz Fabianski,Goalkeeper
2015/16,Swansea,Marvin Emnes,Centre-Forward
2015/16,Swansea,Matt Grimes,Defensive Midfield
2015/16,Swansea,Modou Barrow,Left Winger
2015/16,Swansea,Nathan Dyer,Right Winger
2015/16,Swansea,Neil Taylor,Left-Back
2015/16,Swansea,Stephen Kingsley,Left-Back
2015/16,Swansea,Sung-yueng Ki,Defensive Midfield
2015/16,Swansea,Wayne Routledge,Left Winger
2015/16,Swansea,Ángel Rangel,Right-Back
2015/16,Swansea,Éder,Centre-Forward
2015/16,Tottenham,Alex Pritchard,Attacking Midfield
2015/16,Tottenham,Andros Townsend,Right Winger
2015/16,Tottenham,Ben Davies,Centre-Back
2015/16,Tottenham,Cameron Carter-Vickers,Centre-Back
2015/16,Tottenham,Christian Eriksen,Attacking Midfield
2015/16,Tottenham,Clinton N'Jie,Right Winger
2015/16,Tottenham,Danny Rose,Left-Back
2015/16,Tottenham,DeAndre Yedlin,Right-Back
2015/16,Tottenham,Dele Alli,Attacking Midfield
2015/16,Tottenham,Eric Dier,Centre-Back
2015/16,Tottenham,Erik Lamela,Right Winger
2015/16,Tottenham,Federico Fazio,Centre-Back
2015/16,Tottenham,Grant Ward,Central Midfield
2015/16,Tottenham,Harry Kane,Centre-Forward
2015/16,Tottenham,Harry Winks,Defensive Midfield
2015/16,Tottenham,Heung-min Son,Left Winger
2015/16,Tottenham,Hugo Lloris,Goalkeeper
2015/16,Tottenham,Jan Vertonghen,Centre-Back
2015/16,Tottenham,Josh Onomah,Central Midfield
2015/16,Tottenham,Kevin Wimmer,Centre-Back
2015/16,Tottenham,Kieran Trippier,Right-Back
2015/16,Tottenham,Kyle Walker,Right-Back
2015/16,Tottenham,Kyle Walker-Peters,Right-Back
2015/16,Tottenham,Luke McGee,Goalkeeper
2015/16,Tottenham,Michel Vorm,Goalkeeper
2015/16,Tottenham,Mousa Dembélé,Central Midfield
2015/16,Tottenham,Nabil Bentaleb,Defensive Midfield
2015/16,Tottenham,Nacer Chadli,Left Winger
2015/16,Tottenham,Ryan Mason,Central Midfield
2015/16,Tottenham,Toby Alderweireld,Centre-Back
2015/16,Tottenham,Tom Carroll,Central Midfield
2015/16,Watford,Adlène Guédioura,Defensive Midfield
2015/16,Watford,Alessandro Diamanti,Attacking Midfield
2015/16,Watford,Allan Nyom,Right-Back
2015/16,Watford,Almen Abdi,Central Midfield
2015/16,Watford,Ben Watson,Central Midfield
2015/16,Watford,Connor Smith,Central Midfield
2015/16,Watford,Costel Pantilimon,Goalkeeper
2015/16,Watford,Craig Cathcart,Centre-Back
2015/16,Watford,Daniel Pudil,Left-Back
2015/16,Watford,Essaïd Belkalem,Centre-Back
2015/16,Watford,Fernando Forestieri,Second Striker
2015/16,Watford,Gabriele Angella,Centre-Back
2015/16,Watford,Giedrius Arlauskis,Goalkeeper
2015/16,Watford,Heurelho Gomes,Goalkeeper
2015/16,Watford,Ikechi Anya,Left Midfield
2015/16,Watford,Joel Ekstrand,Centre-Back
2015/16,Watford,Jose Cholevas,Left-Back
2015/16,Watford,José Manuel Jurado,Attacking Midfield
2015/16,Watford,Juan Carlos Paredes,Defensive Midfield
2015/16,Watford,Lloyd Dyer,Left Midfield
2015/16,Watford,Luke Simpson,Goalkeeper
2015/16,Watford,Mario Suárez,Defensive Midfield
2015/16,Watford,Matej Vydra,Centre-Forward
2015/16,Watford,Miguel Britos,Centre-Back
2015/16,Watford,Miguel Layún,Right-Back
2015/16,Watford,Nathan Aké,Centre-Back
2015/16,Watford,Nordin Amrabat,Right Winger
2015/16,Watford,Obbi Oulare,Centre-Forward
2015/16,Watford,Odion Ighalo,Centre-Forward
2015/16,Watford,Rene Gilmartin,Goalkeeper
2015/16,Watford,Sean Murray,Central Midfield
2015/16,Watford,Sebastian Prödl,Centre-Back
2015/16,Watford,Steven Berghuis,Right Winger
2015/16,Watford,Tommie Hoban,Centre-Back
2015/16,Watford,Troy Deeney,Centre-Forward
2015/16,Watford,Uche Ikpeazu,Centre-Forward
2015/16,Watford,Valon Behrami,Central Midfield
2015/16,Watford,Víctor Ibarbo,Second Striker
2015/16,Watford,Étienne Capoue,Defensive Midfield
2015/16,West Brom,Alex Palmer,Goalkeeper
2015/16,West Brom,Alex Pritchard,Attacking Midfield
2015/16,West Brom,Anders Lindegaard,Goalkeeper
2015/16,West Brom,Ben Foster,Goalkeeper
2015/16,West Brom,Boaz Myhill,Goalkeeper
2015/16,West Brom,Brown Ideye,Centre-Forward
2015/16,West Brom,Callum McManaman,Right Winger
2015/16,West Brom,Chris Brunt,Central Midfield
2015/16,West Brom,Claudio Yacob,Defensive Midfield
2015/16,West Brom,Craig Dawson,Centre-Back
2015/16,West Brom,Craig Gardner,Central Midfield
2015/16,West Brom,Cristian Gamboa,Right-Back
2015/16,West Brom,Darren Fletcher,Central Midfield
2015/16,West Brom,Gareth McAuley,Centre-Back
2015/16,West Brom,Jack Rose,Goalkeeper
2015/16,West Brom,James Chester,Centre-Back
2015/16,West Brom,James McClean,Left Midfield
2015/16,West Brom,James Morrison,Central Midfield
2015/16,West Brom,Joe Ward,Attacking Midfield
2015/16,West Brom,Joleon Lescott,Centre-Back
2015/16,West Brom,Jonas Olsson,Centre-Back
2015/16,West Brom,Jonathan Leko,Right Winger
2015/16,West Brom,Jonny Evans,Centre-Back
2015/16,West Brom,Kyle Edwards,Left Winger
2015/16,West Brom,Rickie Lambert,Centre-Forward
2015/16,West Brom,Saido Berahino,Centre-Forward
2015/16,West Brom,Salomón Rondón,Centre-Forward
2015/16,West Brom,Sam Field,Defensive Midfield
2015/16,West Brom,Sandro,Central Midfield
2015/16,West Brom,Serge Gnabry,Second Striker
2015/16,West Brom,Shaun Donnellan,Centre-Back
2015/16,West Brom,Stéphane Sessègnon,Attacking Midfield
2015/16,West Brom,Sébastien Pocognoli,Left-Back
2015/16,West Brom,Tyler Roberts,Second Striker
2015/16,West Brom,Victor Anichebe,Centre-Forward
2015/16,West Ham,Aaron Cresswell,Left-Back
2015/16,West Ham,Adrián San Miguel,Goalkeeper
2015/16,West Ham,Alex Pike,Right-Back
2015/16,West Ham,Alex Song,Defensive Midfield
2015/16,West Ham,Amos Nasha,Defensive Midfield
2015/16,West Ham,Andy Carroll,Centre-Forward
2015/16,West Ham,Angelo Ogbonna,Centre-Back
2015/16,West Ham,Carl Jenkinson,Right-Back
2015/16,West Ham,Cheikhou Kouyaté,Defensive Midfield
2015/16,West Ham,Darren Randolph,Goalkeeper
2015/16,West Ham,Diafra Sakho,Centre-Forward
2015/16,West Ham,Diego Poyet,Central Midfield
2015/16,West Ham,Dimitri Payet,Attacking Midfield
2015/16,West Ham,Djair Parfitt,Left Winger
2015/16,West Ham,Doneil Henry,Centre-Back
2015/16,West Ham,Elliot Lee,Attacking Midfield
2015/16,West Ham,Emmanuel Emenike,Centre-Forward
2015/16,West Ham,Enner Valencia,Centre-Forward
2015/16,West Ham,George Dobson,Defensive Midfield
2015/16,West Ham,James Collins,Centre-Back
2015/16,West Ham,James Tomkins,Centre-Back
2015/16,West Ham,Joey O'Brien,Right-Back
2015/16,West Ham,Jordan Brown,Centre-Forward
2015/16,West Ham,Josh Cullen,Central Midfield
2015/16,West Ham,Josh Pask,Centre-Back
2015/16,West Ham,Kevin Nolan,Attacking Midfield
2015/16,West Ham,Kyle Knoyle,Right-Back
2015/16,West Ham,Leo Chambers,Centre-Back
2015/16,West Ham,Lewis Page,Left-Back
2015/16,West Ham,Manuel Lanzini,Attacking Midfield
2015/16,West Ham,Marcus Browne,Left Winger
2015/16,West Ham,Mark Noble,Central Midfield
2015/16,West Ham,Martin Samuelsen,Left Winger
2015/16,West Ham,Matt Jarvis,Left Winger
2015/16,West Ham,Mauro Zárate,Centre-Forward
2015/16,West Ham,Michail Antonio,Centre-Forward
2015/16,West Ham,Modibo Maïga,Centre-Forward
2015/16,West Ham,Morgan Amalfitano,Right Midfield
2015/16,West Ham,Nathan Mavila,Left-Back
2015/16,West Ham,Nikica Jelavic,Centre-Forward
2015/16,West Ham,Pedro Obiang,Central Midfield
2015/16,West Ham,Raphael Spiegel,Goalkeeper
2015/16,West Ham,Reece Burke,Centre-Back
2015/16,West Ham,Reece Oxford,Centre-Back
2015/16,West Ham,Sam Byram,Left-Back
2015/16,West Ham,Sam Howes,Goalkeeper
2015/16,West Ham,Sam Westley,Right-Back
2015/16,West Ham,Stephen Hendrie,Left-Back
2015/16,West Ham,Victor Moses,Right Winger
2015/16,West Ham,Winston Reid,Centre-Back
2016/17,AFC Bournemouth,Aaron Ramsdale,Goalkeeper
2016/17,AFC Bournemouth,Adam Federici,Goalkeeper
2016/17,AFC Bournemouth,Adam Smith,Right-Back
2016/17,AFC Bournemouth,Andrew Surman,Central Midfield
2016/17,AFC Bournemouth,Artur Boruc,Goalkeeper
2016/17,AFC Bournemouth,Baily Cargill,Centre-Back
2016/17,AFC Bournemouth,Benik Afobe,Centre-Forward
2016/17,AFC Bournemouth,Brad Smith,Left-Back
2016/17,AFC Bournemouth,Callum Buckley,Left-Back
2016/17,AFC Bournemouth,Callum Wilson,Centre-Forward
2016/17,AFC Bournemouth,Charlie Daniels,Left-Back
2016/17,AFC Bournemouth,Corey Jordan,Centre-Back
2016/17,AFC Bournemouth,Dan Gosling,Central Midfield
2016/17,AFC Bournemouth,Emerson Hyndman,Central Midfield
2016/17,AFC Bournemouth,Eunan O'Kane,Central Midfield
2016/17,AFC Bournemouth,Harry Arter,Central Midfield
2016/17,AFC Bournemouth,Harry Cornick,Centre-Forward
2016/17,AFC Bournemouth,Jack Simpson,Centre-Back
2016/17,AFC Bournemouth,Jack Wilshere,Central Midfield
2016/17,AFC Bournemouth,Jordan Holmes,Goalkeeper
2016/17,AFC Bournemouth,Jordan Lee,Right-Back
2016/17,AFC Bournemouth,Jordon Ibe,Right Winger
2016/17,AFC Bournemouth,Joshua King,Centre-Forward
2016/17,AFC Bournemouth,Junior Stanislas,Left Winger
2016/17,AFC Bournemouth,Keelan O'Connell,Right Midfield
2016/17,AFC Bournemouth,Lewis Cook,Central Midfield
2016/17,AFC Bournemouth,Lewis Grabban,Centre-Forward
